rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1608810897788751279,,4,,1608808591,257641702,'',2,"""/turtle1/bumper2pointcloud""","""waitForService","""/tmp/binarydeb/ros-melodic-roscpp-1.14.6/src/libros/service.cpp""","""service",123,[/rosout]
1608810897788782201,,3,,1608808591,273849695,'',2,"""/turtle1/cmd_vel_mux""","""waitForService","""/tmp/binarydeb/ros-melodic-roscpp-1.14.6/src/libros/service.cpp""","""service",123,[/rosout]
1608810897789333599,,20,,1608810621,549834016,'',4,"""/turtle1/mobile_base_nodelet_manager""","""Kobuki","""/home/husarion/turtlebot_ws/src/kobuki_node/src/library/kobuki_ros.cpp""","""KobukiRos",262,"[/rosout, /turtle1/cmd_vel_mux/parameter_descriptions, /turtle1/cmd_vel_mux/parameter_updates,"
1608810900344782205,,108,,1608810900,344714956,'',2,"""/record_1608810897058646546""","""Subscribing to /turtle3/cmd_vel_mux/input/teleop""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1608810900347993834,,109,,1608810900,347931495,'',2,"""/record_1608810897058646546""","""Subscribing to /turtle2/cmd_vel_mux/input/teleop""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1608810900350680753,,110,,1608810900,350622118,'',2,"""/record_1608810897058646546""","""Subscribing to /turtle1/cmd_vel_mux/input/teleop""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1608810901346896419,,111,,1608810901,346050362,'',2,"""/record_1608810897058646546""","""Subscribing to /turtle4/cmd_vel_mux/input/teleop""","""/tmp/binarydeb/ros-melodic-rosbag-1.14.10/src/recorder.cpp""","""shared_ptr<ros",213,[/rosout]
1608810931722640698,,18,,1608810931,753633578,'',4,"""/turtle3/mobile_base_nodelet_manager""","""Kobuki","""/home/husarion/turtlebot_ws/src/kobuki_node/src/library/kobuki_ros.cpp""","""KobukiRos",262,"[/rosout, /tf, /diagnostics, /turtle3/joint_states, /turtle3/mobile_base/version_info,"
1608810931729870771,,21,,1608810931,749850194,'',4,"""/turtle1/mobile_base_nodelet_manager""","""Kobuki","""/home/husarion/turtlebot_ws/src/kobuki_node/src/library/kobuki_ros.cpp""","""KobukiRos",262,"[/rosout, /turtle1/cmd_vel_mux/parameter_descriptions, /turtle1/cmd_vel_mux/parameter_updates,"
1608810931768807665,,19,,1608810931,776109885,'',4,"""/turtle4/mobile_base_nodelet_manager""","""Kobuki","""/home/husarion/turtlebot_ws/src/kobuki_node/src/library/kobuki_ros.cpp""","""KobukiRos",262,"[/rosout, /tf, /diagnostics, /turtle4/joint_states, /turtle4/mobile_base/version_info,"
1608810931772272627,,25,,1608810931,747422203,'',4,"""/turtle2/mobile_base_nodelet_manager""","""Kobuki","""/home/husarion/turtlebot_ws/src/kobuki_node/src/library/kobuki_ros.cpp""","""KobukiRos",262,"[/rosout, /turtle2/cmd_vel_mux/parameter_descriptions, /turtle2/cmd_vel_mux/parameter_updates,"
