rosbagTimestamp,layout,dim,data_offset,data
1608810898469382176,,[],0,"[0, 0, 0, 0]"
1608810898495147709,,[],0,"[0, 0, 0, 0]"
1608810898526645349,,[],0,"[0, 0, 0, 0]"
1608810898543282196,,[],0,"[0, 0, 0, 0]"
1608810898543358842,,[],0,"[0, 0, 0, 0]"
1608810898564652792,,[],0,"[0, 0, 0, 0]"
1608810898594063360,,[],0,"[0, 0, 0, 0]"
1608810898631526133,,[],0,"[0, 0, 0, 0]"
1608810898658236703,,[],0,"[0, 0, 0, 0]"
1608810898658333297,,[],0,"[0, 0, 0, 0]"
1608810898670474112,,[],0,"[0, 0, 0, 0]"
1608810898703835419,,[],0,"[0, 0, 0, 0]"
1608810898734199640,,[],0,"[0, 0, 0, 0]"
1608810898734285159,,[],0,"[0, 0, 0, 0]"
1608810898749820895,,[],0,"[0, 0, 0, 0]"
1608810898900088531,,[],0,"[0, 0, 0, 0]"
1608810898935422816,,[],0,"[0, 0, 0, 0]"
1608810898935568825,,[],0,"[0, 0, 0, 0]"
1608810898935758670,,[],0,"[0, 0, 0, 0]"
1608810898935779846,,[],0,"[0, 0, 0, 0]"
1608810898935791747,,[],0,"[0, 0, 0, 0]"
1608810898935811889,,[],0,"[0, 0, 0, 0]"
1608810898935854034,,[],0,"[0, 0, 0, 0]"
1608810898935896867,,[],0,"[0, 0, 0, 0]"
1608810898957026635,,[],0,"[0, 0, 0, 0]"
1608810898980393603,,[],0,"[0, 0, 0, 0]"
1608810899002772442,,[],0,"[0, 0, 0, 0]"
1608810899002783730,,[],0,"[0, 0, 0, 0]"
1608810899050847388,,[],0,"[0, 0, 0, 0]"
1608810899050888721,,[],0,"[0, 0, 0, 0]"
1608810899071442033,,[],0,"[0, 0, 0, 0]"
1608810899094230659,,[],0,"[0, 0, 0, 0]"
1608810899125523235,,[],0,"[0, 0, 0, 0]"
1608810899147985505,,[],0,"[0, 0, 0, 0]"
1608810899148045741,,[],0,"[0, 0, 0, 0]"
1608810899172360471,,[],0,"[0, 0, 0, 0]"
1608810899192180019,,[],0,"[0, 0, 0, 0]"
1608810899212029094,,[],0,"[0, 0, 0, 0]"
1608810899237986424,,[],0,"[0, 0, 0, 0]"
1608810899260962094,,[],0,"[0, 0, 0, 0]"
1608810899285886948,,[],0,"[0, 0, 0, 0]"
1608810899285916066,,[],0,"[0, 0, 0, 0]"
1608810899302864236,,[],0,"[0, 0, 0, 0]"
1608810899332213207,,[],0,"[0, 0, 0, 0]"
1608810899357866560,,[],0,"[0, 0, 0, 0]"
1608810899386446035,,[],0,"[0, 0, 0, 0]"
1608810899416017563,,[],0,"[0, 0, 0, 0]"
1608810899416092029,,[],0,"[0, 0, 0, 0]"
1608810899435322847,,[],0,"[0, 0, 0, 0]"
1608810899466923855,,[],0,"[0, 0, 0, 0]"
1608810899467000881,,[],0,"[0, 0, 0, 0]"
1608810899489835147,,[],0,"[0, 0, 0, 0]"
1608810899516473149,,[],0,"[0, 0, 0, 0]"
1608810899537374051,,[],0,"[0, 0, 0, 0]"
1608810899565173468,,[],0,"[0, 0, 0, 0]"
1608810899599620912,,[],0,"[0, 0, 0, 0]"
1608810899599644279,,[],0,"[0, 0, 0, 0]"
1608810899630182333,,[],0,"[0, 0, 0, 0]"
1608810899630205164,,[],0,"[0, 0, 0, 0]"
1608810899651108479,,[],0,"[0, 0, 0, 0]"
