rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
1608810898381934715,,102796,,1608810898,365561799,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898422595266,,102797,,1608810898,385571190,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898442359485,,102798,,1608810898,405522545,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898442388815,,102799,,1608810898,425503647,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898460831437,,102800,,1608810898,445446545,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898482644834,,102801,,1608810898,465608461,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898498816421,,102802,,1608810898,485812664,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898527209880,,102803,,1608810898,505317526,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898543484319,,102804,,1608810898,524543001,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898564785947,,102805,,1608810898,544526727,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898594167733,,102806,,1608810898,565386527,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898631689479,,102807,,1608810898,585417207,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898658566242,,102808,,1608810898,605359521,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898658581943,,102809,,1608810898,625355205,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898658704079,,102810,,1608810898,645346806,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898684143082,,102811,,1608810898,665368154,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898715309924,,102812,,1608810898,685441705,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898745695355,,102813,,1608810898,705363313,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898898295887,,102814,,1608810898,727458480,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898898351993,,102815,,1608810898,746020193,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898933105997,,102816,,1608810898,766633560,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898933134752,,102817,,1608810898,785280139,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898933186177,,102818,,1608810898,805426015,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
1608810898933234469,,102819,,1608810898,826173243,'',"[wheel_left_joint, wheel_right_joint]","[628.553952681832, 689.7473706859164]","[0.0, 0.0]","[0.0, 0.0]"
