rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,pose,position,x,y,z,orientation,x,y,z,w
1608810909039396252,,19016,,1608810909,36570200,"""world""",,,2.38027262688,2.78187894821,0.45728802681,,0.00229538045824,-0.00406495016068,-0.277805835009,0.960626006126
1608810909039402314,,19022,,1608810909,36833979,"""world""",,,2.38225865364,2.78071522713,0.457324773073,,0.00183502398431,-0.00441947346553,-0.286568760872,0.958047807217
1608810909185628679,,19023,,1608810909,185371448,"""world""",,,2.38257741928,2.78051662445,0.457451611757,,0.000891023839358,-0.00447742873803,-0.288370937109,0.957507967949
1608810909198647133,,19024,,1608810909,195379580,"""world""",,,2.38275814056,2.78024172783,0.457296282053,,0.00179176474921,-0.00449606031179,-0.29049706459,0.956863641739
1608810909198682247,,19025,,1608810909,195420179,"""world""",,,2.38300561905,2.78006792068,0.457353740931,,0.00119898316916,-0.0049558118917,-0.29232236743,0.95630633831
1608810909198696253,,19026,,1608810909,195519226,"""world""",,,2.38321733475,2.77982640266,0.457353055477,,0.00134064035956,-0.0050017866306,-0.294188171625,0.955733478069
1608810909198829003,,19030,,1608810909,195682428,"""world""",,,2.38397741318,2.77883124352,0.457384496927,,0.00145986687858,-0.00506092840806,-0.301393419504,0.953485369682
1608810909230980608,,19031,,1608810909,225391182,"""world""",,,2.38418531418,2.77849411964,0.457310706377,,0.0020075943321,-0.0046344967559,-0.303432583809,0.952839612961
1608810909231022636,,19035,,1608810909,225578488,"""world""",,,2.3852891922,2.7774245739,0.45730137825,,0.0019293007208,-0.00427283300087,-0.311568558216,0.95021212101
1608810909231230673,,19036,,1608810909,225667136,"""world""",,,2.38557505608,2.77723050117,0.457373142242,,0.00139049335849,-0.0049087847583,-0.313307225704,0.949638128281
1608810909231959112,,19039,,1608810909,225787468,"""world""",,,2.38640069962,2.77652859688,0.457489877939,,0.00091846374562,-0.00452175643295,-0.317757576704,0.94816082716
