rosbagTimestamp,data
1608810898643889190,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898644004433,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898668888750,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898669198790,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898704580138,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898704603198,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898704643488,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898704657067,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898745046449,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898745063050,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898745127486,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898745150312,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898769024120,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898769081673,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898792103784,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898792123914,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898809369755,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898809381290,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898809388103,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898809394821,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
1608810898835162480,"""[ 0xaa 0x55 0x06 0x01 0x04 0x00 0x00 0x00 0x00 0x03 ]"""
1608810898835188042,"""[ 0xaa 0x55 0x03 0x0e 0x01 0x00 0x0c ]"""
